feature_id,assistant_mean,control_mean,difference,cohens_d,rank_by_diff
72529,9.211289405822754,8.695385932922363,0.5159034729003906,0.47098463773727417,1
51064,0.6344830989837646,0.17338423430919647,0.461098849773407,1.0616998672485352,2
90249,1.1249862909317017,0.6964261531829834,0.42856013774871826,2.3083388805389404,3
129068,0.4574703872203827,0.08342904597520828,0.374041348695755,1.516775131225586,4
88752,8.571627616882324,8.218409538269043,0.35321807861328125,0.2660923898220062,5
21744,9.378754615783691,9.037995338439941,0.34075927734375,0.22196337580680847,6
6956,0.6532859802246094,0.3174501955509186,0.3358357846736908,1.5660401582717896,7
49161,0.34690025448799133,0.04064064845442772,0.3062596023082733,1.470898985862732,8
1810,0.3023294508457184,0.0,0.3023294508457184,1.330061912536621,9
81830,0.8972944617271423,0.5955377221107483,0.30175673961639404,0.8016425967216492,10
102678,0.4298347532749176,0.1321052461862564,0.2977294921875,0.5248491168022156,11
51764,10.591705322265625,10.296719551086426,0.2949857711791992,0.17521759867668152,12
79019,0.531893789768219,0.23858542740345,0.2933083772659302,1.0049775838851929,13
43392,0.6509879231452942,0.3762269914150238,0.2747609317302704,0.9878627061843872,14
106539,0.4424777925014496,0.1684620976448059,0.2740156948566437,1.035264492034912,15
115219,12.028216361999512,11.758034706115723,0.27018165588378906,0.14610084891319275,16
108385,1.027342438697815,0.7584640979766846,0.26887834072113037,0.7888076305389404,17
51442,0.6139677166938782,0.3467256724834442,0.26724204421043396,0.8323129415512085,18
100385,0.3621178865432739,0.09557747095823288,0.26654040813446045,1.0750123262405396,19
65764,0.714928925037384,0.4508843719959259,0.26404455304145813,0.9523272514343262,20
