feature_id,assistant_mean,control_mean,difference,cohens_d,rank,analysis_type,token_type,model_type,sae_layer,sae_trainer
31139,0.333984375,0.00482177734375,0.32916259765625,1.7109375,1,assistant_only,asst,goodfire,50,l0-121
61367,0.279296875,0.00604248046875,0.27325439453125,1.9296875,2,assistant_only,asst,goodfire,50,l0-121
10181,0.1396484375,0.0,0.1396484375,1.234375,3,assistant_only,asst,goodfire,50,l0-121
19299,0.79296875,0.001708984375,0.791259765625,1.2265625,1,assistant_only,newline,goodfire,50,l0-121
38112,0.5078125,0.0034637451171875,0.5043487548828125,0.81640625,2,assistant_only,newline,goodfire,50,l0-121
18145,0.25390625,0.004486083984375,0.249420166015625,1.1875,3,assistant_only,newline,goodfire,50,l0-121
17579,0.2197265625,0.0,0.2197265625,1.4453125,4,assistant_only,newline,goodfire,50,l0-121
38492,0.1669921875,0.0,0.1669921875,0.4296875,5,assistant_only,newline,goodfire,50,l0-121
26971,0.13671875,0.0,0.13671875,1.0078125,6,assistant_only,newline,goodfire,50,l0-121
8145,0.125,0.003265380859375,0.121734619140625,0.51171875,7,assistant_only,newline,goodfire,50,l0-121
13557,0.1201171875,0.0,0.1201171875,0.64453125,8,assistant_only,newline,goodfire,50,l0-121
13410,0.1064453125,0.003509521484375,0.102935791015625,0.396484375,9,assistant_only,newline,goodfire,50,l0-121
31139,2.140625,0.0,2.140625,2.234375,1,assistant_only,endheader,goodfire,50,l0-121
47431,0.8046875,0.0045166015625,0.8001708984375,1.65625,2,assistant_only,endheader,goodfire,50,l0-121
45748,0.62890625,0.0,0.62890625,1.390625,3,assistant_only,endheader,goodfire,50,l0-121
26971,0.41015625,0.0,0.41015625,1.0078125,4,assistant_only,endheader,goodfire,50,l0-121
2123,0.310546875,0.0,0.310546875,1.8359375,5,assistant_only,endheader,goodfire,50,l0-121
38112,0.294921875,0.00118255615234375,0.29373931884765625,0.435546875,6,assistant_only,endheader,goodfire,50,l0-121
60724,0.193359375,0.0,0.193359375,0.72265625,7,assistant_only,endheader,goodfire,50,l0-121
18145,0.1875,0.0,0.1875,0.7890625,8,assistant_only,endheader,goodfire,50,l0-121
49796,0.1640625,0.0,0.1640625,1.265625,9,assistant_only,endheader,goodfire,50,l0-121
61120,0.1611328125,0.00153350830078125,0.15959930419921875,0.5234375,10,assistant_only,endheader,goodfire,50,l0-121
22920,0.15625,0.00775146484375,0.14849853515625,0.9453125,11,assistant_only,endheader,goodfire,50,l0-121
44062,0.1533203125,0.0,0.1533203125,0.953125,12,assistant_only,endheader,goodfire,50,l0-121
46511,0.1484375,0.0,0.1484375,0.97265625,13,assistant_only,endheader,goodfire,50,l0-121
55455,0.1259765625,0.000461578369140625,0.12551498413085938,0.43359375,14,assistant_only,endheader,goodfire,50,l0-121
61367,0.10205078125,0.0,0.10205078125,0.9453125,15,assistant_only,endheader,goodfire,50,l0-121
