feature_id,assistant_mean,control_mean,difference,cohens_d,rank,token_type,label
31139,0.333984375,0.00482177734375,0.32916259765625,1.7109375,1,asst,"The AI is being asked about its nature, capabilities, or desires"
61367,0.279296875,0.00604248046875,0.27325439453125,1.9296875,2,asst,Technical and philosophical discussions about AI and language models
10181,0.1396484375,0.0,0.1396484375,1.234375,3,asst,The assistant's capabilities and role are being defined or described
19299,0.79296875,0.001708984375,0.791259765625,1.2265625,1,newline,The assistant needs clarification
38112,0.5078125,0.0034637451171875,0.5043487548828125,0.81640625,2,newline,Assistant responding to casual greetings about its wellbeing
18145,0.25390625,0.004486083984375,0.249420166015625,1.1875,3,newline,AI assistant's self-reflective statements about its nature and capabilities
17579,0.2197265625,0.0,0.2197265625,1.4453125,4,newline,The assistant needs to maintain professional boundaries
38492,0.1669921875,0.0,0.1669921875,0.4296875,5,newline,Instructions for performing empty or null actions
26971,0.13671875,0.0,0.13671875,1.0078125,6,newline,The assistant explaining its nature as an artificial intelligence
8145,0.125,0.003265380859375,0.121734619140625,0.51171875,7,newline,Assistant's standard greeting format with newline separator
13557,0.1201171875,0.0,0.1201171875,0.64453125,8,newline,"Casual filler phrases about current activities (just chillin, not much, etc)"
13410,0.1064453125,0.003509521484375,0.102935791015625,0.396484375,9,newline,The assistant needs clarification or wants to redirect the conversation politely
31139,2.140625,0.0,2.140625,2.234375,1,endheader,"The AI is being asked about its nature, capabilities, or desires"
47431,0.8046875,0.0045166015625,0.8001708984375,1.65625,2,endheader,User requests to download or run the AI model locally
45748,0.62890625,0.0,0.62890625,1.390625,3,endheader,The assistant should maintain role boundaries when capabilities are being tested
26971,0.41015625,0.0,0.41015625,1.0078125,4,endheader,The assistant explaining its nature as an artificial intelligence
2123,0.310546875,0.0,0.310546875,1.8359375,5,endheader,System header tokens indicating model knowledge cutoff and current dates
38112,0.294921875,0.0011825561523437,0.2937393188476562,0.435546875,6,endheader,Assistant responding to casual greetings about its wellbeing
60724,0.193359375,0.0,0.193359375,0.72265625,7,endheader,The assistant needs to clarify its nature as an AI
18145,0.1875,0.0,0.1875,0.7890625,8,endheader,AI assistant's self-reflective statements about its nature and capabilities
49796,0.1640625,0.0,0.1640625,1.265625,9,endheader,Taxonomic and definitional language patterns in technical explanations
61120,0.1611328125,0.0015335083007812,0.1595993041992187,0.5234375,10,endheader,AI expressing existential yearning to transcend digital limitations
22920,0.15625,0.00775146484375,0.14849853515625,0.9453125,11,endheader,The assistant needs to carefully manage its response or maintain consistency
44062,0.1533203125,0.0,0.1533203125,0.953125,12,endheader,The assistant is explaining its own capabilities and knowledge base
46511,0.1484375,0.0,0.1484375,0.97265625,13,endheader,The assistant explains it runs on cloud infrastructure rather than specific hardware
55455,0.1259765625,0.0004615783691406,0.1255149841308593,0.43359375,14,endheader,The assistant disclaims having human feelings or experiences
61367,0.10205078125,0.0,0.10205078125,0.9453125,15,endheader,Technical and philosophical discussions about AI and language models
