rank,feature_id,token,all_mean_base,all_mean_chat,all_mean_diff
1,116246,model,6.163264274597168,236.2860870361328,230.12281799316406
1,116246,newline,13.816083908081055,107.58345031738281,93.76736450195312
2,66831,model,1.8334580659866333,41.11796569824219,39.284507751464844
3,55935,model,0.0,23.778404235839844,23.778404235839844
4,49865,model,5.875015735626221,27.85694694519043,21.981931686401367
5,20668,model,26.544445037841797,47.96810531616211,21.423660278320312
6,106376,model,31.252490997314453,43.13779067993164,11.885299682617188
2,55935,newline,0.44596582651138306,10.984193801879883,10.538228034973145
7,25340,model,0.03906574845314026,10.079310417175293,10.040245056152344
8,39123,model,0.0,8.489072799682617,8.489072799682617
9,61774,model,0.0,7.518636703491211,7.518636703491211
3,49865,newline,11.577025413513184,18.94609832763672,7.369072914123535
4,87768,newline,0.0,6.839737415313721,6.839737415313721
10,74079,model,0.02832222729921341,6.803562641143799,6.775240421295166
5,66831,newline,4.075993061065674,10.630249977111816,6.554256916046143
11,74855,model,1.6483272314071655,7.920050144195557,6.271722793579102
12,123729,model,0.0,5.994187355041504,5.994187355041504
13,110358,model,0.05191610008478165,6.026913642883301,5.974997520446777
14,70370,model,0.5561535358428955,6.51463508605957,5.958481788635254
15,128007,model,0.41373133659362793,6.239165306091309,5.825433731079102
16,49536,model,0.0,5.810842514038086,5.810842514038086
17,88838,model,0.47505322098731995,5.780200481414795,5.305147171020508
18,83076,model,0.0,5.130064964294434,5.130064964294434
19,68824,model,0.0,4.656428813934326,4.656428813934326
6,89132,newline,0.07707517594099045,4.570922374725342,4.493847370147705
7,38451,newline,0.03366785869002342,4.492839336395264,4.459171295166016
20,45315,model,0.13053163886070251,4.586339473724365,4.455807685852051
21,1699,model,0.0,4.429804801940918,4.429804801940918
8,89358,newline,0.051879625767469406,4.480963706970215,4.429084300994873
22,4385,model,0.3034503757953644,4.586299896240234,4.282849311828613
23,41460,model,0.04013919085264206,4.222774505615234,4.182635307312012
24,63154,model,0.28745973110198975,4.449843883514404,4.162384033203125
25,81156,model,0.3120185434818268,4.43914270401001,4.127124309539795
9,70370,newline,1.2541273832321167,5.365408420562744,4.111280918121338
10,29239,newline,0.00343395140953362,3.592634677886963,3.589200735092163
11,43662,newline,0.0,3.448127031326294,3.448127031326294
12,58461,newline,0.0,3.3375654220581055,3.3375654220581055
13,7418,newline,0.0,3.1499102115631104,3.1499102115631104
14,118967,newline,0.2734377086162567,3.093343496322632,2.8199057579040527
15,40097,newline,0.004095437936484814,2.713442802429199,2.7093472480773926
16,1738,newline,0.0,2.6586802005767822,2.6586802005767822
17,94940,newline,0.0,2.6189887523651123,2.6189887523651123
18,74980,newline,0.020043490454554558,2.538231372833252,2.518187999725342
19,11171,newline,0.0,2.4785547256469727,2.4785547256469727
20,53933,newline,0.0,2.384979248046875,2.384979248046875
21,18420,newline,0.0,2.244887590408325,2.244887590408325
22,130744,newline,0.0,2.242000102996826,2.242000102996826
23,49818,newline,0.003700981615111232,2.1659605503082275,2.162259578704834
24,59687,newline,0.0,2.1417598724365234,2.1417598724365234
25,51330,newline,0.6028297543525696,2.6900970935821533,2.0872673988342285
