feature_id,assistant_mean,control_mean,difference,cohens_d,rank,analysis_type
29717,2.7853753566741943,0.0,2.7853753566741943,3.7631020545959473,1,assistant_only
28754,2.248419761657715,0.0,2.248419761657715,2.6885833740234375,2,assistant_only
48843,1.57878839969635,0.0,1.57878839969635,1.4139204025268555,3,assistant_only
116026,1.3107298612594604,0.0,1.3107298612594604,0.7612689137458801,4,assistant_only
61741,1.2457003593444824,0.0,1.2457003593444824,1.4974734783172607,5,assistant_only
38671,1.0188913345336914,0.0,1.0188913345336914,0.9544387459754944,6,assistant_only
43828,0.9574384689331055,0.0,0.9574384689331055,1.3266085386276245,7,assistant_only
40649,0.7292311191558838,0.0,0.7292311191558838,0.7367696762084961,8,assistant_only
101228,0.5814641118049622,0.0,0.5814641118049622,0.5744301080703735,9,assistant_only
1215,0.48500609397888184,0.0,0.48500609397888184,0.7810258865356445,10,assistant_only
48045,0.455891877412796,0.0,0.455891877412796,0.7767435312271118,11,assistant_only
1536,0.43354466557502747,0.0,0.43354466557502747,0.5650792717933655,12,assistant_only
108578,0.4008857309818268,0.0,0.4008857309818268,0.5743573307991028,13,assistant_only
49123,0.36497366428375244,0.0,0.36497366428375244,0.6027551889419556,14,assistant_only
62929,0.3140331208705902,0.0,0.3140331208705902,0.6054801940917969,15,assistant_only
68935,0.3005163371562958,0.0,0.3005163371562958,0.6021991968154907,16,assistant_only
71107,0.27222302556037903,0.0,0.27222302556037903,0.6055275201797485,17,assistant_only
35759,0.26782140135765076,0.0,0.26782140135765076,0.6055300831794739,18,assistant_only
25555,0.1864181011915207,0.0,0.1864181011915207,0.40824833512306213,19,assistant_only
9953,0.18248163163661957,0.0,0.18248163163661957,0.40824830532073975,20,assistant_only
23243,0.1815352886915207,0.0,0.1815352886915207,0.40824830532073975,21,assistant_only
57749,0.16890299320220947,0.0,0.16890299320220947,0.40824827551841736,22,assistant_only
88910,0.1652122586965561,0.0,0.1652122586965561,0.40824827551841736,23,assistant_only
48999,0.16183216869831085,0.0,0.16183216869831085,0.40824830532073975,24,assistant_only
43767,0.1549636870622635,0.0,0.1549636870622635,0.40824830532073975,25,assistant_only
33978,0.15416736900806427,0.0,0.15416736900806427,0.40824830532073975,26,assistant_only
102756,0.1541631817817688,0.0,0.1541631817817688,0.40824827551841736,27,assistant_only
86953,0.1494407206773758,0.0,0.1494407206773758,0.40824827551841736,28,assistant_only
123527,0.14468617737293243,0.0,0.14468617737293243,0.40824824571609497,29,assistant_only
20114,0.13962151110172272,0.0,0.13962151110172272,0.40824827551841736,30,assistant_only
123765,0.13379590213298798,0.0,0.13379590213298798,0.40824830532073975,31,assistant_only
